uri,lcsh_topic,lcsh_t1,count
http://bnb.data.bl.uk/id/resource/002981360,Scotland--History--17th century,Scotland,219
http://bnb.data.bl.uk/id/resource/002987819,Festivals,Festivals,5
http://bnb.data.bl.uk/id/resource/003006607,Structural stability,Structural stability,9
http://bnb.data.bl.uk/id/resource/003043407,Buddhism--Thailand,Buddhism,9
http://bnb.data.bl.uk/id/resource/003058982,"Manuscripts, Greek (Papyri)","Manuscripts, Greek (Papyri)",21
http://bnb.data.bl.uk/id/resource/003076197,"Auden, W. H. (Wystan Hugh), 1907-1973--Criticism and interpretation","Auden, W. H. (Wystan Hugh), 1907-1973",6
http://bnb.data.bl.uk/id/resource/003109885,Motorcycles,Motorcycles,3
http://bnb.data.bl.uk/id/resource/003114133,English language--Textbooks for foreign speakers,English language,2148
http://bnb.data.bl.uk/id/resource/003122808,Rayon,Rayon,1
http://bnb.data.bl.uk/id/resource/003123715,Vitamins,Vitamins,4
http://bnb.data.bl.uk/id/resource/003125378,Rattus,Rattus,1
http://bnb.data.bl.uk/id/resource/003140050,"Rolfe, Frederick, 1860-1913--Correspondence","Rolfe, Frederick, 1860-1913",58
http://bnb.data.bl.uk/id/resource/003158146,Agricultural physics,Agricultural physics,1
http://bnb.data.bl.uk/id/resource/003159953,Race,Race,46
http://bnb.data.bl.uk/id/resource/003162315,Great Britain. Royal Navy. Fleet Air Arm--History--Sources,Great Britain. Royal Navy. Fleet Air Arm,1
http://bnb.data.bl.uk/id/resource/003162669,Book jackets,Book jackets,1
http://bnb.data.bl.uk/id/resource/003183164,"Yeats, W. B. (William Butler), 1865-1939--Criticism and interpretation","Yeats, W. B. (William Butler), 1865-1939",11
http://bnb.data.bl.uk/id/resource/003234177,Ethiopia--Description and travel,Ethiopia,4
http://bnb.data.bl.uk/id/resource/003238032,Thanksgiving Day sermons--Early works to 1800,Thanksgiving Day sermons,1
http://bnb.data.bl.uk/id/resource/003253748,"Photography, Artistic","Photography, Artistic",5
http://bnb.data.bl.uk/id/resource/003296082,World politics--1945-1989--Sources,World politics,22
http://bnb.data.bl.uk/id/resource/003318599,Reinforced concrete,Reinforced concrete,6
http://bnb.data.bl.uk/id/resource/003320387,Workers' Educational Association. North Staffordshire District--History,Workers' Educational Association. North Staffordshire District,30
http://bnb.data.bl.uk/id/resource/003356867,Jews--Byzantine Empire--History,Jews,40
http://bnb.data.bl.uk/id/resource/003364052,Scientists--Fiction,Scientists,15
